Age,Land_area,Coastline_length,Continents_Number,Polar_Land_Area,Temperate_Land_Area,Subtropical_Land_Area,Tropical_Land_Area,Northern_Land_Area,Southern_Land_Area,Continental_Shelves_Area,High_Altitude_Area,Ocean_Area,Ocean_Volume,BQART_TSS_low,ROBART_TSS_low,BQART_TSS_high,ROBART_TSS_high,Sea_Level_dSL,BQART_TSS_est,ROBART_TSS_est,CO2_ppm
315.0,158615988485129.0,351011705.9687265,3,33242542595504.02,46124883844859.23,29397994183819.8,50269442392109.52,47617036888331.125,110998951596797.88,16461469164562.283,22140068208400.84,351449627483893.1,1.3369286e+18,14607.824625190216,12271.092625297304,58431.29850076087,49084.370501189216,3.443939393939394,29215.649250380437,24542.185250594608,892.258
331.0,157735752149354.5,337148354.1192995,3,35412392642975.38,45661022788869.03,25531252419887.76,51573751701916.43,42240047500941.37,115495704648413.14,14474964198273.254,21418484350181.613,352329863819667.6,1.3368145e+18,12521.674548696454,9762.035428651005,50086.698194785815,39048.14171460402,-25.485151515151514,25043.349097392907,19524.07085730201,593.444
350.0,149498419543432.12,406921113.83591664,4,32868654589167.098,37008714483934.734,24556944262198.01,55433395591931.37,37393899106505.9,112104520436926.22,18793970491795.727,20616024717329.613,360567196425590.0,1.3368382e+18,12518.978029554062,9986.425315891947,50075.91211821625,39945.70126356779,21.35242424242424,25037.956059108124,19972.85063178389,610.623
370.0,145220500942584.66,451838421.399772,4,28956526420187.742,36656719919680.11,27298822965353.832,52671722817851.83,34586639987268.703,110633860955315.94,19485963213684.543,22260832035046.56,364845115026437.5,1.3364047e+18,,,,,99.87424242424242,,,868.51
383.0,144787030783366.22,360776689.0273914,3,25068191124338.93,33444782017113.53,32261836354283.37,54421198783332.086,31655218059510.0,113131812723856.23,19564839587213.91,23421684315684.09,365278585185655.9,1.3364308e+18,8990.854570270581,6928.711028379119,35963.418281082326,27714.84411351648,92.98636363636363,17981.709140541163,13857.422056758238,1215.078
393.0,144431237357015.12,471195865.66794753,2,22262031675708.605,35406494409720.336,32773683036755.312,54451989560324.53,29110180394984.496,115321056962030.62,21226241934089.125,20609226753578.035,365634378612007.0,1.3364395e+18,9780.276172915112,7518.052133252077,39121.10469166045,30072.208533008303,95.05272727272728,19560.552345830227,15036.104266504151,2104.463
408.0,147071746424228.25,385333591.1299272,1,26802671581543.64,34969425328515.78,31418089088646.043,54251649569763.25,28824366007252.61,118247380416975.66,20321113054577.23,18585632896820.82,362993869544793.9,1.3367155e+18,9679.889234890146,7884.88469015364,38719.556939560585,31539.53876061456,47.526363636363634,19359.778469780293,15769.76938030728,2785.133
420.0,149528310589928.03,373697340.04740727,2,28316018276711.64,32011511336136.945,26359304386863.35,63219063488594.336,35942933725764.164,113585376864163.88,19659111349239.504,20246035543144.33,360537305379094.06,1.3367759e+18,10368.564702398537,8100.430819336342,41474.25880959415,32401.72327734537,28.92909090909091,20737.129404797077,16200.861638672684,2595.105
444.0,139432934538610.48,429919973.4173829,3,23854754594681.824,27444479335736.96,33245741637269.47,55314931076554.56,38698308386367.98,100734626152242.48,22749785574884.5,17798268742299.54,370632681430411.7,1.3364189e+18,9837.629794555629,6901.214077571942,39350.51917822251,27604.856310287767,74.38909090909091,19675.25958911125,13802.428155143883,3130.436
463.0,139693856382604.95,496125996.35502833,4,19919133462737.453,27424285384592.56,29347209395793.28,63385713570563.23,40104387212338.24,99589469170266.7,21919234356529.645,18564639185235.06,370371759586417.2,1.335385e+18,13118.984929343114,10260.67837093259,52475.93971737246,41042.71348373036,159.11,26237.96985868623,20521.35674186518,4899.218
475.0,139471622949961.38,464501657.3088241,3,23784175735731.6,25254735247286.707,25004610169250.617,65776597410016.125,34169764857208.55,105301858092752.8,21058192271347.85,20407687122354.707,370593993019060.8,1.3356017e+18,13039.569452714242,10160.59987887716,52158.27781085697,40642.399515508645,145.33424242424243,26079.138905428485,20321.19975775432,4976.364
489.0,141579691503337.5,446885008.1432983,3,26851756878632.25,23627222749114.223,26051496586994.0,65411606738589.36,29823366768569.41,111756324734768.08,17818962543719.79,21227341604696.0,368485924465684.6,1.3359795e+18,11074.28529946055,7748.416542264596,44297.1411978422,30993.666169058382,132.24727272727273,22148.5705989211,15496.833084529191,4895.984
500.0,140892897224317.53,396394742.5513761,3,24130372036786.34,25033301575084.49,29079089707826.53,63056412208832.26,30652818316317.4,110240078908000.12,18578335082793.387,21950125103577.27,369172718744704.6,1.3357469e+18,10943.555267646418,8620.655419450528,43774.22107058567,34482.62167780211,148.77818181818182,21887.110535292835,17241.310838901056,4786.87
518.0,142827817642138.7,246383043.0822701,2,19183553796794.387,24649016683009.86,34525458313504.48,64908157540751.73,30200653756782.13,112627163885356.56,16017702089661.324,19638817428039.93,367237798326883.4,1.3346734e+18,10792.34764574374,8266.515572449896,43169.39058297496,33066.062289799585,185.2839393939394,21584.69529148748,16533.031144899793,4893.525
535.0,151802129494776.53,245868367.2283168,2,16074884961218.734,30524756675644.24,40250343492886.88,65459792305181.445,26924635048851.4,124877494445925.12,14033196524475.695,25674709449057.137,358263486474245.6,1.3363093e+18,13035.377146818166,10051.037574533912,52141.50858727266,40204.150298135646,97.11909090909091,26070.75429363633,20102.075149067823,5216.711
545.0,137047848962357.44,413388168.7181963,3,10210541554873.764,39556551310005.0,39022411305230.086,48752396804900.22,22548245943661.17,114499603018696.28,24208548619929.52,20146565338249.887,373017767006664.7,1.3303743e+18,11111.038905166552,8156.94207030994,44444.155620666206,32627.76828123976,240.3869696969697,22222.077810333103,16313.88414061988,5352.647
