age_from,age_to,mean_distance,median_distance,p95_distance,mean_poleward,median_poleward,mean_delta_alt,median_delta_alt,mean_delta_temp,median_delta_temp,mean_delta_precip,median_delta_precip,subduction_fraction,survivor_fraction,normal_fraction,delta_Land_area,delta_Coastline_length,delta_Continents_Number,delta_Polar_Land_Area,delta_Temperate_Land_Area,delta_Subtropical_Land_Area,delta_Tropical_Land_Area,delta_Northern_Land_Area,delta_Southern_Land_Area,delta_Continental_Shelves_Area,delta_High_Altitude_Area,delta_Ocean_Area,delta_Ocean_Volume,delta_Sea_Level_dSL,delta_BQART_TSS_est,delta_ROBART_TSS_est,delta_CO2_ppm,delta_Ridge_Depth,mean_distance_z,median_distance_z,p95_distance_z,mean_poleward_z,median_poleward_z,mean_delta_alt_z,median_delta_alt_z,mean_delta_temp_z,median_delta_temp_z,mean_delta_precip_z,median_delta_precip_z,subduction_fraction_z,survivor_fraction_z,normal_fraction_z,delta_Land_area_z,delta_Coastline_length_z,delta_Continents_Number_z,delta_Polar_Land_Area_z,delta_Temperate_Land_Area_z,delta_Subtropical_Land_Area_z,delta_Tropical_Land_Area_z,delta_Northern_Land_Area_z,delta_Southern_Land_Area_z,delta_Continental_Shelves_Area_z,delta_High_Altitude_Area_z,delta_Ocean_Area_z,delta_Ocean_Volume_z,delta_Sea_Level_dSL_z,delta_BQART_TSS_est_z,delta_ROBART_TSS_est_z,delta_CO2_ppm_z,delta_Ridge_Depth_z
200.0,180.0,790.6846923828125,525.52783203125,2231.697265625,-0.10483473539352417,0.5428496599197388,216.2084503173828,94.05561828613281,1.4990664720535278,0.8188095092773438,28.21723175048828,0.2158203125,0.18561736589713654,0.14923866888863782,0.6645298239997991,18514054337318.906,-47968738.18491274,-1.0,2440868867038.043,10519648965460.328,4858744621386.922,742177689584.3047,14550141679761.312,3963912657557.5703,-7703692451423.32,301209776228.1133,-18514054337318.875,3052100000000000.0,-132.9360606060606,4017.119755063839,3409.9047404643607,154.05399999999997,58.36717789823933,-0.2970984036369047,-0.6095765218493217,0.23736134600118108,-0.06507228029001584,0.5942846786215611,0.09805489917291181,1.9916659885003256,0.5671496813450619,0.3794859981770825,0.28433635154507325,-0.11132601089985356,0.06216433783721057,-0.007449374815141935,-0.0335559371364516,1.6781214942648344,-0.5958556753399378,-0.9893557373428601,0.5787125445151435,2.1684225070141827,1.2377547533652056,0.18003204256958788,1.940955896304127,0.8552747960580424,-0.9161536506132523,0.2047791877440149,-1.6781214942648304,1.7614696864112707,-2.414458692101274,1.0932077215252665,0.8625768805229104,0.4959176687825621,1.9236035420632216
20.0,15.0,271.72540283203125,183.58953857421875,533.18505859375,-0.1640697419643402,-0.2014392912387848,85.4892807006836,-0.2802734375,-0.543068528175354,-0.4433574676513672,-13.359240531921387,-21.1380615234375,0.062031597182992504,0.05873865476593982,0.8789682819894802,1392083018246.4062,-138824446.6620779,-1.0,-1002599683302.9375,-723383319212.2969,-351494713978.77344,3487255434505.586,515145694292.5625,876937323953.8828,-854444061540.5547,-482855366472.5488,-1392083018246.4375,-80600000000000.0,-2.7551515151515176,2103.6947768447644,3429.7393496455115,-1.511000000000024,11.77968651028823,-1.4088035873444988,-1.392017456344215,-1.6795554031129003,-0.13712989689214247,-0.29452575886651616,-1.0607470022839411,0.23063852652014852,-0.1724800571439199,-0.22036308894280832,-0.33510775771167406,-0.5032123645691376,-1.6625344048725539,-1.7470416599518033,1.7034529648664452,0.09702883156824944,-1.624137074823908,-0.9893557373428601,-0.49115537459551645,-0.13542937616052156,-0.056104619725104235,0.8026969598150163,-0.20199101527273333,0.37177595750790043,-0.09374430659816546,-0.19343735545116908,-0.09702883156825245,-0.11709416863925676,0.0471355922424086,0.5764001902378509,0.8676552104609496,0.19809800682324827,0.37392252272216325
210.0,200.0,766.9708862304688,739.0103759765625,1328.2392578125,-0.2800191044807434,-0.5638280510902405,112.26821899414062,-37.83294677734375,-3.751357078552246,-3.244617462158203,-108.4500503540039,-69.1321029663086,0.1653401137975621,0.14140704440176252,0.692853875582169,2793163341458.1875,130931651.82624072,1.0,1816455902444.3594,-1165850783396.039,1641608275951.5,472558450790.0078,7697294367892.422,-4904131026434.242,1618315253096.8164,319504296324.27734,-2793163341458.25,562200000000000.0,-9.643030303030315,-5320.951930279014,-5275.938288148827,-1309.7930000000001,-17.63765448623917,-0.34789768935316495,-0.12107469453378077,-0.7822685277952799,-0.2781788338831335,-0.7272809565393783,-0.8233565361078959,-0.47038086084065,-1.3344725900795467,-1.551671292378164,-1.7518571535872773,-1.3839988203247369,-0.2208144514329045,-0.15798894842211098,0.1958764613269496,0.22640866626118053,1.428892648042866,0.9433391914199365,0.38471065678789484,-0.22609704256871535,0.4388428901812915,0.1188744154961002,0.8946222886791755,-0.5336863578416168,0.20316715727311696,0.2140707378402428,-0.2264086662611863,0.2683691205446673,-0.08310749158529966,-1.428963688183598,-1.361292331441907,-2.3065277315334196,-0.6046125652090224
220.0,210.0,686.236083984375,597.5479736328125,1622.3099365234375,0.8190720081329346,-0.27543947100639343,149.3992919921875,-49.809295654296875,-3.087773561477661,-2.7517166137695312,-70.58151245117188,-24.904052734375,0.15248237801127304,0.13033171079225198,0.7169079686538872,-245626425553.4375,-176847102.68301028,-2.0,-657902933075.75,163650980313.78125,846746367292.4414,-560931979560.5547,2934421029413.8203,-3180047454967.25,585524613132.4492,69979038619.21094,245626425553.5,-1484600000000000.0,15.842121212121214,-9973.398217709822,-10427.631500387251,-1617.154,7.472982121679706,-0.5208463193705247,-0.4447762991908367,-0.4503845371411165,1.0588326832649118,-0.3828948419370991,-0.49419625977323656,-0.6939509027538312,-1.0941328950327136,-1.3174185117627,-1.187657224099762,-0.5723258201433417,-0.4002503280345213,-0.3708791351164259,0.3907210530428217,-0.05420202479561374,-2.0544676572454676,-1.9557032017242584,-0.3840598720525208,0.04633614666819947,0.2414547349289585,-0.11555181686790483,0.1673983748645964,-0.26365102736991247,0.07915695580741203,0.08734008734742492,0.05420202479561925,-0.9590208301424139,0.3987919185772205,-2.6855686283429647,-2.68029981136575,-2.894951535856221,0.23066479735201031
230.0,220.0,653.9017944335938,427.17724609375,1831.0155029296875,0.5870305299758911,-0.3773174285888672,196.65379333496094,-24.251747131347656,1.022113561630249,1.0398178100585938,16.584854125976562,38.303497314453125,0.16411026218004243,0.1389744096712236,0.6966395432405629,-344196899951.34375,16236145.227901638,-1.0,-281115795138.8828,-733980145060.3359,1808558268085.8984,-1118165067079.8047,341497708461.7422,-685694608413.0781,2042488197184.3945,-708087900771.2305,344196899951.3125,-107400000000000.0,0.6887878787878776,1236.209766466778,828.7533768380817,605.02,18.41682797759995,-0.5901122483728196,-0.8346274326176061,-0.21484239960373164,0.7765611543702264,-0.504554839587641,-0.07529361397945608,-0.21685205959391327,0.3944047078891492,0.4845209340396447,0.11102660686040083,0.5876588844323427,-0.23797762127458713,-0.2047490804599208,0.22654138255563602,-0.06330430927704188,0.13079858200952696,-0.9893557373428601,-0.2669940515523568,-0.1376008114608508,0.48030160220133805,-0.2419487813868599,-0.22850462563093896,0.12702805940960415,0.2540988468306604,-0.30783004598014185,0.06330430927703871,-0.13316513340299224,0.11225713415626266,0.34209636764452256,0.2017149434512733,1.3592644477826192,0.594699642248169
240.0,230.0,799.3073120117188,603.2230834960938,2029.6966552734375,1.5771152973175049,1.029344081878662,156.3761749267578,-109.34326171875,0.34921202063560486,0.3861885070800781,16.1474552154541,25.4600830078125,0.17202034610025232,0.14806354272586902,0.6793780756097867,-7426575458491.25,184259198.8726601,2.0,-1493852534409.7969,-2382686294928.9375,-1348196164026.668,-2231831481676.9453,-96671043349.67969,-7329904415141.578,3399081845845.375,1800460693617.0996,7426575458491.3125,-1676700000000000.0,86.78727272727274,3334.353221437661,2772.3767798062763,434.2380000000003,-8.535491428079695,-0.27862718415668003,-0.43179021851559657,0.009386326621733554,1.9809697076708208,1.1752436184845878,-0.4323474488105549,-1.805308915536927,0.15069016857665532,0.1738814165484353,0.10450983995728169,0.3519565966720555,-0.1275886021030506,-0.030037663078205736,0.08671887488895666,-0.7173117576409755,2.0324400269257383,1.909686655801335,-0.643785101827621,-0.4754433678105941,-0.3036156130423926,-0.494561301074905,-0.29540684451407556,-0.9136241575572567,0.4169890253118947,0.9662293341545937,0.7173117576409805,-1.0742160663779954,1.7402956820026139,0.9087955335870513,0.6993481877174178,1.0323127715782325,-0.301839247609329
250.0,240.0,845.041259765625,658.845703125,2186.37744140625,-0.16326135396957397,-0.15217727422714233,106.60462188720703,-53.443450927734375,0.7428143620491028,0.7243528366088867,60.90724563598633,46.906280517578125,0.1740742179163685,0.1483479581717069,0.676750861484578,-2537839820553.25,38184381.27614191,2.0,-184744661954.71094,302609357000.5,-1227232397270.6016,-1469959691224.0938,-928521872421.7422,-1609317948131.4844,148255591817.5586,-1412176999335.6582,2537839820553.1875,-170800000000000.0,23.41878787878788,1190.8774968682847,2199.9200764877605,467.69799999999987,-62.44013023944035,-0.1806567502264193,-0.3045116559378594,0.18621403616602164,-0.13614651703680325,-0.2356983440251295,-0.8735633046778346,-0.7617919664326752,0.29324685401404693,0.3345951478314103,0.7713819189358481,0.7455371272165784,-0.09892583473267454,-0.02457062619263708,0.06543773732745217,-0.2658716808551332,0.3792030384621593,1.909686655801335,-0.23705203750031134,0.07481062843670208,-0.2735766660099025,-0.3217462191590538,-0.4224187914286503,-0.017634843189728446,0.026652781844485638,-0.6654277909404508,0.26587168085512697,-0.17118375900078436,0.5420593107876994,0.32985232431617706,0.5527799348144883,1.096369891683388,-2.09491702732437
270.0,250.0,869.019287109375,854.5761108398438,1711.46533203125,1.0808027982711792,0.44603580236434937,150.55853271484375,44.700096130371094,-0.20991040766239166,0.18392181396484375,-17.45064926147461,-4.4656982421875,0.18827537534992908,0.16241534227143198,0.6484676088075422,-4046387953073.0625,-188915812.87638226,-1.0,-4842049622173.48,4190244862463.125,-3229032782000.6953,-160351968493.15625,4800162169057.125,-8846550122130.203,3503150673277.6562,-1100670307425.004,4046387953073.0625,104600000000000.0,-45.459999999999994,-6178.768321513842,-7648.526240337262,-47.42300000000023,15.866805642240251,-0.12929145466305525,0.14336881270790713,-0.34976502424310185,1.3772203735947228,0.4786720970364467,-0.48391979949889996,1.070315394059574,-0.05181533442829871,0.0777534925591949,-0.396065287221835,-0.1972412206086571,0.09925813600700996,0.24583278853786145,-0.16366417908332767,-0.4051754058295373,-2.1910581964158933,-0.9893557373428601,-1.6840526688723072,0.8714405903169288,-0.7706840010335114,-0.024688408753899996,0.4522708619775293,-1.1511694433386692,0.42948487467069807,-0.5072175718156016,0.40517540582953676,-0.006036606167472782,-0.7603715274893814,-1.6606560599768097,-1.9687549901808536,0.11020229557794198,0.5098759890684933
290.0,270.0,1050.80712890625,810.8446044921875,2234.006591796875,0.22604690492153168,1.925518274307251,127.8664321899414,-101.70735168457031,1.1107524633407593,0.8428478240966797,54.59818649291992,29.2607421875,0.19704792459106943,0.1700749444507212,0.6323161460098671,-2332001476957.5625,-36211064.75338602,0.0,-2305309472227.121,1333600535971.8047,597521019752.8828,-1924223621917.9375,6078479264519.75,-8410480741477.3125,3031691893094.5137,-1784865365010.5352,2332001476957.625,-422100000000000.0,101.25181818181818,538.6188362020366,2623.0019990056608,315.6400000000001,86.66534242536,0.26013116504867195,0.043300112160832134,0.23996761871427044,0.33743535427909765,2.2454314464755054,-0.685081184729637,-1.6627645771975494,0.426508348287432,0.39091028788189364,0.6773838160044849,0.4217062786694897,0.22168327284902137,0.39306574742162775,-0.29449535052031073,-0.2468639691439101,-0.46278536975881485,-0.023008272961461865,-0.8959005873675028,0.28607489496804306,0.17956457381160648,-0.42478672988279526,0.6474519417992664,-1.0828698891511654,0.3728754360769244,-0.8547113907149811,0.24686396914391542,-0.3218790368040204,2.0138061580408007,0.15368017645725796,0.6611031981439047,0.8052641663710796,2.864910471098921
300.0,290.0,734.2852172851562,534.581298828125,1457.6068115234375,0.6499853730201721,0.4405929446220398,144.922119140625,-50.44921875,1.5540393590927124,1.4523849487304688,96.08055877685547,49.37109375,0.13736599128786453,0.11843490691572829,0.7437144186469827,-6101072496988.25,124017626.0082255,-1.0,-1579226961525.2266,-989103725854.9453,-522643448430.3281,-3011997792225.9688,14995508275.546875,-6116068005263.8125,917825076518.5254,-600020271132.1406,6101072496988.25,-15100000000000.0,5.510303030303029,3130.9128091768,4889.094389207745,566.1860000000001,-31.769028261359836,-0.41791633692551683,-0.5888599096519939,-0.6362661443718153,0.8531438409595928,0.4721723783941137,-0.533885590945968,-0.7058967499229024,0.5870600114947432,0.6805948497985479,1.295425937874233,0.7907713697562184,-0.6112067629657988,-0.5995596324843698,0.6078604724623696,-0.5949109564855328,1.350641492849862,-0.9893557373428601,-0.6703104960189532,-0.1898791405782744,-0.09860600593966781,-0.6715261218689366,-0.278356929275092,-0.7235065080972434,0.11905724713177587,-0.2529438948652653,0.594910956485532,-0.07781625102639579,0.2034272928356583,0.8538471878606939,1.241299395730819,1.284919133910425,-1.0746769765798019
