source_code,status_code,n_pixels,age_from,age_to
21.0,3,20963,200.0,180.0
56.0,3,1646,200.0,180.0
94.0,3,4415,200.0,180.0
98.0,3,3292,200.0,180.0
99.0,1,25,200.0,180.0
99.0,2,1558,200.0,180.0
99.0,3,849923,200.0,180.0
105.0,1,1,200.0,180.0
105.0,2,1545,200.0,180.0
105.0,3,43681,200.0,180.0
106.0,1,2,200.0,180.0
106.0,3,11453,200.0,180.0
20.0,3,23059,210.0,200.0
21.0,1,6,210.0,200.0
21.0,3,42239,210.0,200.0
56.0,3,1649,210.0,200.0
94.0,3,16264,210.0,200.0
98.0,1,2,210.0,200.0
98.0,3,8328,210.0,200.0
99.0,1,71,210.0,200.0
99.0,2,506,210.0,200.0
99.0,3,705065,210.0,200.0
105.0,2,1445,210.0,200.0
105.0,3,32286,210.0,200.0
106.0,1,4,210.0,200.0
106.0,3,14043,210.0,200.0
20.0,3,21921,220.0,210.0
21.0,3,30177,220.0,210.0
56.0,3,6399,220.0,210.0
94.0,3,12283,220.0,210.0
99.0,1,11,220.0,210.0
99.0,3,676216,220.0,210.0
105.0,2,1406,220.0,210.0
105.0,3,30386,220.0,210.0
20.0,3,15117,230.0,220.0
21.0,3,17531,230.0,220.0
56.0,3,4024,230.0,220.0
94.0,2,96,230.0,220.0
94.0,3,7472,230.0,220.0
98.0,3,1253,230.0,220.0
99.0,1,30,230.0,220.0
99.0,3,761138,230.0,220.0
105.0,2,1280,230.0,220.0
105.0,3,27592,230.0,220.0
106.0,3,2536,230.0,220.0
20.0,3,10419,240.0,230.0
21.0,3,15403,240.0,230.0
56.0,3,6039,240.0,230.0
94.0,2,604,240.0,230.0
94.0,3,10960,240.0,230.0
98.0,2,92,240.0,230.0
98.0,3,1767,240.0,230.0
99.0,1,2,240.0,230.0
99.0,2,1203,240.0,230.0
99.0,3,783491,240.0,230.0
105.0,2,842,240.0,230.0
105.0,3,45923,240.0,230.0
106.0,3,2988,240.0,230.0
20.0,3,10978,250.0,240.0
21.0,2,185,250.0,240.0
21.0,3,19214,250.0,240.0
56.0,3,2610,250.0,240.0
94.0,2,1259,250.0,240.0
94.0,3,15520,250.0,240.0
98.0,3,2101,250.0,240.0
99.0,1,10,250.0,240.0
99.0,2,1942,250.0,240.0
99.0,3,789743,250.0,240.0
105.0,2,820,250.0,240.0
105.0,3,46547,250.0,240.0
106.0,3,748,250.0,240.0
20.0,3,21329,270.0,250.0
21.0,2,5,270.0,250.0
21.0,3,41565,270.0,250.0
56.0,3,2610,270.0,250.0
94.0,2,1518,270.0,250.0
94.0,3,18671,270.0,250.0
99.0,1,83,270.0,250.0
99.0,2,2418,270.0,250.0
99.0,3,797003,270.0,250.0
105.0,2,267,270.0,250.0
105.0,3,78683,270.0,250.0
20.0,1,12,290.0,270.0
20.0,3,15684,290.0,270.0
21.0,3,30549,290.0,270.0
56.0,3,1221,290.0,270.0
94.0,3,12742,290.0,270.0
99.0,1,95,290.0,270.0
