source_code,dest_code,n_pixels,n_baseline,delta_alt_median_transition,delta_alt_median_baseline,delta_alt_cliffs_delta,delta_alt_pvalue,delta_lat_signed_median_transition,delta_lat_signed_median_baseline,delta_lat_signed_cliffs_delta,delta_lat_signed_pvalue,delta_lat_poleward_median_transition,delta_lat_poleward_median_baseline,delta_lat_poleward_cliffs_delta,delta_lat_poleward_pvalue,distance_km_median_transition,distance_km_median_baseline,distance_km_cliffs_delta,distance_km_pvalue,age_from,age_to
20.0,56.0,5459,149840,26.82727,26.862732,-0.10491680226142419,8.16632e-40,-2.461637,1.5666072,-0.6667744647841742,0.0,-2.461637,-1.8457243,-0.40288887006737695,0.0,304.97812,260.62134,0.2318024223090207,0.0,11.0,6.0
20.0,94.0,156,149840,7.2305517,26.862732,-0.5183369097978014,3.140011e-29,3.183829,1.5666072,0.9327928422796281,0.0,3.183829,-1.8457243,0.078980570728435,0.08768945,354.0479,260.62134,0.8848101650307336,0.0,11.0,6.0
20.0,99.0,8658,149840,-755.36633,26.862732,-0.9165112710661296,0.0,0.840454,1.5666072,-0.0060213453833315445,0.34540096,0.51925504,-1.8457243,0.46809795467363546,0.0,242.32251,260.62134,-0.13485003700566967,0.0,11.0,6.0
20.0,105.0,11627,149840,26.862732,26.862732,-0.022054162896889662,7.0382455e-05,1.5226403,1.5666072,-0.11410805108201538,0.0,1.5214137,-1.8457243,0.3930915662409389,0.0,348.73514,260.62134,0.7423297777771247,0.0,11.0,6.0
21.0,20.0,119183,406907,26.862732,26.862732,0.014793296711940629,6.7911112e-15,0.43606937,2.103545,-0.22497933230533818,0.0,-1.8703845,0.2413303,-0.37791129838326576,0.0,265.95483,268.85028,0.017479720386900377,3.848682e-20,11.0,6.0
21.0,56.0,1662,406907,26.901802,26.862732,-0.0938119522942642,3.6512324e-11,-2.092253,2.103545,-0.4850315690658723,0.0,1.7598798,0.2413303,0.27992587158875515,0.0,272.729,268.85028,0.2671914166178828,0.0,11.0,6.0
21.0,94.0,24989,406907,27.301376,26.862732,0.0575747474725643,0.0,2.6095626,2.103545,0.4019434514170406,0.0,2.520097,0.2413303,0.4969639456869235,0.0,304.74808,268.85028,0.4804088787946219,0.0,11.0,6.0
21.0,98.0,466,406907,17.734856,26.862732,-0.13679318652717842,3.1027503e-07,2.7439065,2.103545,0.6488410882257991,0.0,2.7439065,0.2413303,0.7596712659010325,0.0,384.1352,268.85028,0.9838643730119772,0.0,11.0,6.0
21.0,99.0,19761,406907,-697.28766,26.862732,-0.9351725812551105,0.0,1.1450019,2.103545,-0.21809119346048667,0.0,0.951041,0.2413303,0.1618807788856509,0.0,268.64368,268.85028,0.058106187737437365,2.05e-43,11.0,6.0
21.0,105.0,15773,406907,103.989624,26.862732,0.36522914762578784,0.0,-0.58194894,2.103545,-0.6378433654962223,0.0,-0.7345248,0.2413303,-0.20223471825374228,0.0,264.74615,268.85028,0.11105624985552764,0.0,11.0,6.0
21.0,106.0,54,406907,-117.018326,26.862732,-0.813750143471677,3.484111e-25,2.7643087,2.103545,0.6971571172555673,7.135573e-19,2.7643087,0.2413303,0.8020469050667598,1.8315707e-24,383.79944,268.85028,0.9940231132985251,1.1047188e-36,11.0,6.0
56.0,20.0,7051,975,26.862732,43.03469,-0.001291688031157645,0.9476967,2.1040843,2.2635841,-0.2960850070366451,0.0,1.8621073,-2.2899873,0.6726859619839338,0.0,352.61697,265.20407,0.5016375200462564,0.0,11.0,6.0
56.0,21.0,525,975,17.522354,43.03469,-0.015267399267399284,0.6253569,0.8729789,2.2635841,-0.6307692307692307,0.0,0.74581355,-2.2899873,1.0,0.0,352.92743,265.20407,0.33333333333333326,1.5368e-26,11.0,6.0
56.0,99.0,7,975,-5.9428997,43.03469,-0.5375824175824175,0.01417462,2.413913,2.2635841,1.0,1.1694672e-17,-2.413913,-2.2899873,-0.6307692307692307,0.002513799,272.19595,265.20407,0.6307692307692307,0.0040008714,11.0,6.0
56.0,105.0,5215,975,26.791656,43.03469,-0.2664524915800084,1.7301e-40,2.200989,2.2635841,0.07002305971433498,0.00050941115,2.200989,-2.2899873,1.0,0.0,366.37112,265.20407,1.0,0.0,11.0,6.0
94.0,20.0,1904,69493,-225.3154,27.034561,-0.2999819853689393,0.0,-2.637495,2.4950976,-0.8749270224544713,0.0,-2.637495,2.4342585,-0.8362789124398842,0.0,293.67828,301.7613,-0.4297584851361004,0.0,11.0,6.0
94.0,21.0,29332,69493,26.90609,27.034561,-0.055300778670325235,4.04e-43,2.4331799,2.4950976,-0.12750745832202925,0.0,2.1092162,2.4342585,-0.23130052308555005,0.0,301.86096,301.7613,-0.05234947007201751,9.1729e-39,11.0,6.0
94.0,98.0,477,69493,26.862732,27.034561,-0.12345988062505187,3.1701638e-06,2.8323815,2.4950976,0.2023733382977113,2.3603681e-14,2.8323815,2.4342585,0.15091733143205133,1.2744865e-08,385.72797,301.7613,0.8427210185204543,0.0,11.0,6.0
94.0,99.0,13232,69493,-889.87164,27.034561,-0.9161381840656191,0.0,-0.16833697,2.4950976,-0.510581353996125,0.0,-0.15395793,2.4342585,-0.5856332954537486,0.0,282.19128,301.7613,-0.31812224208432016,0.0,11.0,6.0
94.0,105.0,7661,69493,27.28151,27.034561,-0.07138356392863943,8.790275e-25,2.3759675,2.4950976,-0.2244608601776329,0.0,-2.3759675,2.4342585,-0.7792472434744714,0.0,322.86386,301.7613,0.28991191131775196,0.0,11.0,6.0
94.0,106.0,405,69493,-314.07672,27.034561,-0.8551817191641826,0.0,2.3688507,2.4950976,-0.1505641655354576,1.6684635e-07,-2.3645089,2.4342585,-0.8173855684549807,0.0,317.31064,301.7613,0.20368624035851912,1.4497975e-12,11.0,6.0
98.0,94.0,205,38529,29.952713,26.862732,-0.024263130274376765,0.5482651,2.27778,1.4430486,-0.13477121129538794,0.0008581768,-2.3218782,1.424488,-0.997555468196588,0.0,321.04782,386.67212,-0.9134437221503726,0.0,11.0,6.0
98.0,99.0,538,38529,-176.64569,26.862732,-0.8068099334436543,0.0,3.1221845,1.4430486,0.4654514568806907,0.0,3.1221845,1.424488,0.4673233631481757,0.0,377.02045,386.67212,-0.3869568241987569,0.0,11.0,6.0
98.0,105.0,15604,38529,26.862732,26.862732,0.007831526895826224,0.15271549,2.2422228,1.4430486,0.37903156225938184,0.0,2.2422228,1.424488,0.381053769217631,0.0,380.23718,386.67212,-0.4886980982089023,0.0,11.0,6.0
98.0,106.0,2842,38529,-241.24417,26.862732,-0.8958641953695132,0.0,2.4168754,1.4430486,0.15020154718995848,7.4944e-41,2.4168754,1.424488,0.11812144974140404,6.592238e-26,387.31232,386.67212,0.1249350932623221,8.702605e-29,11.0,6.0
99.0,20.0,16023,3153716,884.35706,7.5825195,0.8592923806000672,0.0,-0.014332389,0.67799085,-0.17436020809865616,0.0,0.021583147,-0.40230703,0.10256627564900378,0.0,248.63391,324.06558,-0.3318959313254193,0.0,11.0,6.0
99.0,21.0,29626,3153716,273.5226,7.5825195,0.7128733382861625,0.0,2.0109959,0.67799085,0.23073231406247285,0.0,1.0997343,-0.40230703,0.24301839858605212,0.0,301.55136,324.06558,-0.13695444898923637,0.0,11.0,6.0
99.0,56.0,434,3153716,69.56978,7.5825195,0.5565498051649616,0.0,2.3559487,0.67799085,0.1496870105857655,6.633634e-08,-2.223042,-0.40230703,-0.22168024176736967,1.2605685e-15,271.3689,324.06558,-0.15041122025236286,5.73258e-08,11.0,6.0
99.0,94.0,15797,3153716,470.98193,7.5825195,0.7830396667837929,0.0,1.4354885,0.67799085,0.10764068805085558,0.0,1.3147866,-0.40230703,0.30005734898267766,0.0,215.7766,324.06558,-0.35184123383548094,0.0,11.0,6.0
99.0,98.0,606,3153716,268.00458,7.5825195,0.7260034683292385,0.0,2.6056135,0.67799085,0.28784084465047677,1.2839614e-34,2.6056135,-0.40230703,0.28321786150691186,1.4370668e-33,381.69318,324.06558,0.3020785476069767,5.925956e-38,11.0,6.0
99.0,105.0,13346,3153716,251.0278,7.5825195,0.7190338505809772,0.0,-1.587908,0.67799085,-0.39527329523971355,0.0,-1.9520676,-0.40230703,-0.2641840360624099,0.0,344.89832,324.06558,0.1559718041318472,0.0,11.0,6.0
99.0,106.0,13374,3153716,-46.171204,7.5825195,-0.14042084962166357,0.0,2.595529,0.67799085,0.36327748841862095,0.0,1.8965592,-0.40230703,0.18833643076105266,0.0,354.44077,324.06558,0.2446664230040636,0.0,11.0,6.0
105.0,20.0,6069,379589,23.064102,26.862732,-0.21544723649668318,0.0,-1.612481,-0.6300905,-0.2718502515465122,0.0,-1.6119426,0.16886854,-0.4529618034494065,0.0,310.10065,325.5716,-0.519718940785102,0.0,11.0,6.0
105.0,21.0,12065,379589,-49.611618,26.862732,-0.37659927835858087,0.0,-2.5715294,-0.6300905,-0.14475378209055323,0.0,-2.5610254,0.16886854,-0.25110951109108337,0.0,320.727,325.5716,-0.30629979767514315,0.0,11.0,6.0
105.0,56.0,635,379589,19.07434,26.862732,-0.43611470533100216,0.0,-2.5918508,-0.6300905,-0.5960706734550836,0.0,-2.5918508,0.16886854,-0.7087208558332352,0.0,314.2553,325.5716,-0.5170901482484069,0.0,11.0,6.0
105.0,94.0,3694,379589,-216.41357,26.862732,-0.3921267911168784,0.0,-2.865868,-0.6300905,-0.5993442037927087,0.0,-2.845233,0.16886854,-0.6410956367316399,0.0,333.41583,325.5716,0.12885894981821044,1.5725e-41,11.0,6.0
105.0,98.0,11574,379589,26.562958,26.862732,-0.12103669685178398,0.0,2.177627,-0.6300905,0.3552334597550719,0.0,1.2315371,0.16886854,0.13128915746527947,0.0,355.34265,325.5716,0.6004971254042171,0.0,11.0,6.0
105.0,99.0,9516,379589,-620.7196,26.862732,-0.9222603934344683,0.0,-2.7999868,-0.6300905,-0.5394880737864407,0.0,-2.7729,0.16886854,-0.5318127815774321,0.0,352.02573,325.5716,0.40379056979008543,0.0,11.0,6.0
105.0,106.0,700,379589,-247.08635,26.862732,-0.8810747564188786,0.0,2.159103,-0.6300905,0.32562908830340187,0.0,-2.168488,0.16886854,-0.2152295132743196,6.5894056e-23,353.98462,325.5716,0.2799523356653042,1.3135467e-37,11.0,6.0
106.0,21.0,52,98070,78.247635,43.46804,0.2452282906244363,0.002198116,3.055147,2.896162,0.17883419221748986,0.025546787,3.055147,2.896162,0.24774337012024383,0.0019782684,349.45404,382.8382,-0.844979645622044,5.029164e-26,11.0,6.0
106.0,94.0,1242,98070,120.12775,43.46804,0.32659346317913185,0.0,-2.4830709,2.896162,-0.7894547947693217,0.0,2.579627,2.896162,-0.2968213575140305,0.0,320.8937,382.8382,-0.9660073311859303,0.0,11.0,6.0
106.0,98.0,4415,98070,215.00214,43.46804,0.5120315613422866,0.0,2.3031075,2.896162,-0.3097775562120153,0.0,2.3031075,2.896162,-0.30984639326082863,0.0,387.53366,382.8382,0.23462320867487696,0.0,11.0,6.0
106.0,99.0,16625,98070,28.903625,43.46804,-0.09425327098719571,0.0,1.7506409,2.896162,-0.40786503057889445,0.0,2.3642125,2.896162,-0.21904911192021048,0.0,353.4709,382.8382,-0.4888915448609287,0.0,11.0,6.0
106.0,105.0,1408,98070,190.8212,43.46804,0.4714459378505149,0.0,3.1291904,2.896162,0.0050460173971282885,0.74471074,3.1291904,2.896162,0.030275054286363234,0.050740957,384.19135,382.8382,-0.05628626815725313,0.0002810388,11.0,6.0
20.0,21.0,61498,169403,0.68878174,0.68878174,0.03453946954314002,4.6532835e-37,0.21601187,0.10274166,0.1269340609791818,0.0,-0.32215786,-0.26578638,-0.10058366743104663,0.0,158.23361,75.62629,0.3190807774045592,0.0,15.0,11.0
20.0,56.0,7867,169403,0.68878174,0.68878174,-0.030706450537905883,3.9270603e-06,0.36483765,0.10274166,0.2736538041880796,0.0,0.3417581,-0.26578638,0.2281630334267708,0.0,49.30235,75.62629,-0.6339107182237784,0.0,15.0,11.0
20.0,94.0,3649,169403,-58.68872,0.68878174,-0.1486903016680471,0.0,-0.04110513,0.10274166,0.2605328560311764,0.0,-0.06049012,-0.26578638,-0.16070939477888257,0.0,27.91709,75.62629,-0.23861404006160325,0.0,15.0,11.0
20.0,99.0,12382,169403,-1098.499,0.68878174,-0.8899575495090971,0.0,0.04787679,0.10274166,0.19523846011765977,0.0,-0.022453208,-0.26578638,0.18661042802213013,0.0,72.28086,75.62629,-0.11918036080020078,0.0,15.0,11.0
20.0,105.0,4890,169403,0.688797,0.68878174,-0.07660946144482106,5.4481954e-20,-0.09018822,0.10274166,-0.027462947680804817,0.0010406469,-0.10001841,-0.26578638,0.06866909629844442,2.4107108e-16,83.46142,75.62629,-0.04996950737636119,2.4198954e-09,15.0,11.0
21.0,20.0,74476,459733,0.680336,0.688797,-0.0754781591191932,0.0,0.52689564,-0.4848314,0.29925075188307715,0.0,0.018438153,-0.52986944,0.30447562911707626,0.0,83.033005,96.881424,-0.11872259892892778,0.0,15.0,11.0
21.0,56.0,1614,459733,-2.725586,0.688797,-0.20779397165906854,0.0,0.5601857,-0.4848314,0.5059428654255438,0.0,0.55936694,-0.52986944,0.5017334303122027,0.0,66.979004,96.881424,-0.6618575569364138,0.0,15.0,11.0
21.0,94.0,28385,459733,0.9187927,0.688797,-0.011979271771297095,0.0006854457,0.14420524,-0.4848314,0.22046164972686455,0.0,-0.318239,-0.52986944,0.0672266956172971,0.0,112.55432,96.881424,0.06295309399437854,0.0,15.0,11.0
21.0,98.0,76,459733,-2.2793198,0.688797,-0.026600050578556633,0.6876799,0.11065985,-0.4848314,0.16516932539905604,0.01263863,-0.11065985,-0.52986944,0.27048119577873986,4.4299195e-05,118.258316,96.881424,0.312575422782583,2.3655246e-06,15.0,11.0
21.0,99.0,35889,459733,-704.109,0.688797,-0.8961660830868867,0.0,0.14086972,-0.4848314,0.20271458244529228,0.0,0.044563364,-0.52986944,0.2854710817006336,0.0,93.44906,96.881424,-0.09116786314315595,0.0,15.0,11.0
21.0,105.0,4239,459733,3.4568481,0.688797,0.11143423988499479,5.7579862e-36,0.026602035,-0.4848314,0.2529007853557421,0.0,-0.0862925,-0.52986944,0.25064154505217084,0.0,73.92983,96.881424,-0.15324909757267968,0.0,15.0,11.0
56.0,20.0,3593,2739,1.6339417,0.68878174,0.11403456093432252,5.8787094e-15,-0.5840178,0.28803268,-0.14119590981896868,5.389258e-22,-0.60536796,0.22858877,-0.4993837658657808,0.0,97.51028,37.54941,0.2598565199237859,0.0,15.0,11.0
56.0,21.0,787,2739,33.616943,0.68878174,0.37526147097341656,0.0,0.6404258,0.28803268,0.5186883609289881,0.0,-0.6404258,0.22858877,-0.8052424553243586,0.0,197.71024,37.54941,0.4098848901439187,0.0,15.0,11.0
56.0,99.0,21,2739,-39.698822,0.68878174,-0.6164745562335924,5.7984107e-07,0.51080173,0.28803268,0.4017281246196909,0.0014944882,-0.50885296,0.22858877,-0.11601383890540518,0.35913327,197.83528,37.54941,0.8251708131226203,6.877396e-11,15.0,11.0
56.0,105.0,772,2739,954.3916,0.68878174,0.2613998149924237,2.464996e-29,-0.1326555,0.28803268,-0.6139726120686231,0.0,-0.1326555,0.22858877,0.025162354552453747,0.28489947,68.50694,37.54941,0.21405830576190765,9.2486224e-20,15.0,11.0
94.0,20.0,224,71218,11.180162,0.7427368,0.22303087000477406,7.710552e-09,-0.38390344,-0.57269573,0.2469866165455763,1.6315968e-10,-0.38390344,-0.57381976,0.23374633419320157,1.4498378e-09,46.01919,70.220345,-0.2841436554964034,1.9202203e-13,15.0,11.0
