source_code,dest_code,n_steps,total_n_pixels,delta_alt_pooled_median_transition,delta_alt_pooled_cliffs_delta,delta_lat_signed_pooled_median_transition,delta_lat_signed_pooled_cliffs_delta,delta_lat_poleward_pooled_median_transition,delta_lat_poleward_pooled_cliffs_delta,distance_km_pooled_median_transition,distance_km_pooled_cliffs_delta
106.0,105.0,36,188575,1478.9161146732529,0.6893425609439643,0.28979231375567277,-0.03947455928782801,0.7537099033952881,0.013842793389989925,797.1029054377381,0.03391790116315272
98.0,106.0,35,184014,-811.818430699768,-0.7474851936242075,1.2487433408263564,-0.005070222799540829,0.4042625676342162,0.004265799341369834,691.2305415314569,-0.02757589663174476
105.0,56.0,30,167499,-23.720279482632417,0.002180540654255273,0.5837662091316248,-0.04656555861370558,-2.1561971896090575,-0.2362535605898386,504.18973560114733,-0.2317222211452605
56.0,105.0,31,167090,0.970014249941014,0.012467758914555312,0.5590538747766957,0.2695362866533044,3.579623616208857,0.527234988337203,605.698721726977,0.4091797987518879
106.0,98.0,35,153929,863.6405121180303,0.6244900721548369,-0.015506153661260588,-0.022638515606143127,0.07250022969829284,-0.04664130359045791,663.2334807585971,0.030564418310485404
105.0,106.0,40,145527,-635.0478448997355,-0.7779743793571364,-0.31927723382526013,0.080786458987265,1.1343544666545882,-0.0442227784320881,739.5525021946792,0.10026721141476724
56.0,21.0,31,139462,-30.350455846426943,0.04960608286906628,-0.2945805782205221,-0.06766828246138586,0.10248217573131241,-0.11351217684484677,677.5445107896862,0.18524610853967002
21.0,56.0,31,139236,46.39478699876527,0.0662686077208817,0.5269344553591985,-0.0287086975191679,2.242986843361926,0.2838034758283416,686.7927224056418,0.3932030522538853
56.0,99.0,30,127279,-1280.2832592967986,-0.7371167393437814,1.226805761209813,0.060858468454426176,0.5583297500237999,-0.08752762378485103,596.618528872826,0.26606108229688774
99.0,98.0,39,123703,1979.3763247687498,0.8010904588552991,-2.302728798239098,-0.08735522981785497,3.8167978726628053,0.27840276667255,921.9257445964898,-0.013581648365748399
99.0,56.0,32,115004,2225.7367176141356,0.7889818901245541,1.840215717665333,0.06898978961183679,1.5006120824634854,0.05890702665940018,651.7479800334794,-0.1640941613009323
98.0,99.0,35,101787,-1229.4386970671953,-0.7352280242854264,0.2955910028756354,-0.056310747774555206,-0.17343690227831898,-0.06903886041182829,867.0663429174881,-0.029644099193959123
94.0,98.0,35,72579,7.926525912883172,-0.025484501521395055,-2.8632101958982275,-0.09795151594362582,4.233798481198832,0.40337125923382205,807.1361414570054,0.0589209025836313
98.0,94.0,25,67528,37.30868788192572,0.04388419866259047,9.140049383733604,0.3928451554117659,-8.992966278771842,-0.5886565492182287,1226.6748793102274,0.08129091170743544
94.0,56.0,25,58651,15.520512629408143,-0.011805011515458552,0.9105037249057784,0.0780333122653727,-0.9252930314688455,0.13567917273660227,827.5491273395485,0.4690881716641729
98.0,21.0,14,40874,-44.54964716590687,-0.04724443384317213,-0.8808411420842229,-0.2610634461842352,-1.951261997232379,-0.3639954040443556,447.4673527451465,-0.5409398936302355
94.0,106.0,33,37173,-1537.1889205689201,-0.8395368869490069,-1.7631273939153318,-0.010692703639156824,5.071186003155734,0.4179315419076809,842.9490488558439,0.1787622428726093
21.0,98.0,25,35130,168.4793335519623,0.27933586446762554,2.5454274929954397,0.5122153456830327,4.180514563391621,0.6746230348061022,638.7630104113534,0.6573272181784807
106.0,94.0,29,29192,1525.6090482467166,0.7555016272247571,5.502631635649375,0.19211452081734998,-4.480949896765747,-0.30196792444933346,848.3688901043748,0.06927303008251777
56.0,94.0,25,21300,-271.75729271329067,-0.21491168796429833,-0.9739066815544182,-0.05138885797938018,-0.8765403903146305,-0.32066431043302224,866.7810882725962,0.21453451878703841
20.0,98.0,12,14300,74.23806720173442,0.1940473501189837,1.9474220669019473,0.20141648581887894,5.32524335924562,0.7184280214363551,771.1928405014785,0.8067687193697668
106.0,21.0,18,11149,1876.5205901673967,0.6556836261205155,-0.7544069278979247,-0.261410866389196,-2.2494615407124146,-0.3311536226712708,506.6790979597342,-0.16106213104318992
21.0,106.0,21,9589,-1524.2458526455382,-0.8162038941618683,4.09836668974541,0.5571881091672416,4.26729059729689,0.6779699684812193,654.977323776565,0.8024481289647267
98.0,20.0,11,8093,142.76720482861467,0.24475740721872946,1.5571614233161262,0.029138940513248217,-3.45219429632163,-0.38757879793696093,527.9745747170165,-0.4371024172616817
56.0,98.0,7,7191,17.92149428700625,0.3162709046707802,3.3378071879299505,0.5787679270923534,4.887407096150754,0.7010217879538835,726.3416904093509,0.668378076284981
106.0,20.0,8,3071,1451.5884068326661,0.5165106078154673,-2.388058314685207,-0.7105201642463266,-3.7295908070045356,-0.514260922429011,500.14975437672354,-0.026786915244776065
98.0,56.0,3,2712,35.92710239556687,0.06514253841043595,-2.064666450902776,-0.6207307309439664,-2.1621314877517808,0.07066200432123115,530.0364269267844,0.20753370479182157
20.0,106.0,9,1571,-836.2913593411218,-0.8780654932712796,5.2173140733428705,0.6779579555912953,-0.3168713292219622,0.025964379620205133,819.8327008495659,0.8104355008519378
56.0,106.0,3,1151,-2516.1974917891544,-0.9306664578938613,8.635080407123581,0.946133796698523,-8.226983212057556,-0.9150295103460198,1204.3065425233153,0.9669493104524322
106.0,56.0,2,285,5224.428515625,0.917940043349854,-4.8314091414736025,-0.4151557177492704,-2.5226441902026795,-0.15295056361964862,743.4373226768092,-0.19138089880188114
